country,crop,year,rainfall,pesticides,temperature,Actual (A),Predicted (P),Absolute Error (AE),Residual (R) (A - P) ,R^2,,,,,,,,
India,Potatoes,2004,1083,35113,26.24,188091,188091,0,0,0,,,,,,,,
Bangladesh,"Rice, paddy",1998,2666,2068,26.13,29358,29358,0,0,0,,,,,,,,
Italy,Potatoes,2002,832,94211,13.14,240997,250819,9822,-9822,96471684,,,,,,,,
Australia,Potatoes,1999,534,34200,12.1,321265,284527,36738,36738,1349680644,,,,,,,,
Germany,Wheat,2007,700,40740.64,10.37,69611,72007,2396,-2396,5740816,,,,,,,,
Brazil,Soybeans,1991,1761,58349.44,24.25,15533,15533,0,0,0,,,,,,,,
Mexico,Potatoes,2012,758,64512.22,16.43,268098,267752,346,346,119716,,,,,,,,
Brazil,Wheat,2012,1761,346583,21.02,23100,23100,0,0,0,,,,,,,,
Spain,Sorghum,2006,636,39767,17.97,37858,37858,0,0,0,,,,,,,,
Uruguay,Soybeans,2012,1300,23506.4,17.53,23902,16733,7169,7169,51394561,,,,,,,,
Morocco,Sweet potatoes,2004,346,15064,18.07,157333,157333,0,0,0,,,,,,,,
Turkey,Maize,1994,593,24219,18.35,38181,38181,0,0,0,,,,,,,,
Uganda,Potatoes,2002,1180,88,23.99,70000,69036,964,964,929296,,,,,,,,
India,Soybeans,2007,1083,27422.77,27.51,12351,12351,0,0,0,,,,,,,,
India,Cassava,2001,1083,43720.04,26.02,266998,266998,0,0,0,,,,,,,,
India,Maize,2009,1083,28707.01,26.55,20238,20238,0,0,0,,,,,,,,
Albania,Wheat,1991,1485,121,15.36,20698,21741,1043,-1043,1087849,,,,,,,,
Croatia,Soybeans,2013,1113,1836.21,11.58,23606,19489,4117,4117,16949689,,,,,,,,
Turkey,"Rice, paddy",2012,593,42610.59,11.45,73539,73539,0,0,0,,,,,,,,
Jamaica,Yams,1996,2051,1573.58,26.98,169038,132806,36232,36232,1312757824,,,,,,,,
Austria,Maize,1999,1110,3418.6,9.17,96000,96100,100,-100,10000,,,,,,,,
India,Maize,2010,1083,40093.69,27.16,25401,25401,0,0,0,,,,,,,,
Pakistan,Soybeans,1996,494,11955,22.61,12636,12636,0,0,0,,,,,,,,
Brazil,"Rice, paddy",2008,1761,312637,18.8,42311,42311,0,0,0,,,,,,,,
Austria,Soybeans,1999,1110,3418.6,9.17,27209,25092,2117,2117,4481689,,,,,,,,
Brazil,Sweet potatoes,1998,1761,118930.56,28.76,103928,103928,0,0,0,,,,,,,,
Bulgaria,"Rice, paddy",2002,608,2618.5,9.6,43099,48001,4902,-4902,24029604,,,,,,,,
Mali,"Rice, paddy",1992,282,35.42,27.2,17583,17350,233,233,54289,,,,,,,,
India,Sweet potatoes,1996,1083,56114,26.65,80716,80716,0,0,0,,,,,,,,
Cameroon,Potatoes,1997,1604,630.12,24.98,40329,21111,19218,19218,369331524,,,,,,,,
Bangladesh,Sorghum,1992,2666,1453,25.86,8988,8988,0,0,0,,,,,,,,
Australia,Maize,2000,534,33475,19.07,49360,49360,0,0,0,,,,,,,,
Pakistan,Sweet potatoes,2006,494,6925.13,26.73,118514,118514,0,0,0,,,,,,,,
Saudi Arabia,Potatoes,1995,59,994,26.33,196769,189468,7301,7301,53304601,,,,,,,,
India,Cassava,1995,1083,61257,25.92,252775,252775,0,0,0,,,,,,,,
Bulgaria,Maize,2010,608,1588.5,9.65,62512,47071,15441,15441,238424481,,,,,,,,
India,Wheat,1996,1083,56114,26.1,24828,24828,0,0,0,,,,,,,,
Mexico,Wheat,2012,758,64512.22,23.5,56568,56568,0,0,0,,,,,,,,
Mexico,Sweet potatoes,1995,758,34468.93,16.85,174581,174581,0,0,0,,,,,,,,
Brazil,Wheat,2011,1761,345026,18.01,26602,26602,0,0,0,,,,,,,,
Japan,Wheat,1995,1668,79821.18,14.83,29319,29319,0,0,0,,,,,,,,
Japan,Soybeans,2009,1668,60970.8,13.55,15812,15812,0,0,0,,,,,,,,
Pakistan,Wheat,2010,494,2968.44,26.79,25528,25528,0,0,0,,,,,,,,
Mexico,Sweet potatoes,2002,758,16189.88,21.5,184236,184236,0,0,0,,,,,,,,
Ecuador,Potatoes,1997,2274,7612,17.82,89626,84913,4713,4713,22212369,,,,,,,,
New Zealand,Potatoes,1993,1732,3489,12.35,451015,327179,123836,123836,15335354896,,,,,,,,
Italy,Soybeans,1993,832,89282.2,7.43,31552,31552,0,0,0,,,,,,,,
Dominican Republic,"Rice, paddy",2012,1410,6316.61,26.87,41266,41266,0,0,0,,,,,,,,
Brazil,Sorghum,1996,1761,101621.67,24.28,18118,18118,0,0,0,,,,,,,,
Slovenia,Potatoes,2007,1162,1155.23,11.31,228469,233322,4853,-4853,23551609,,,,,,,,
Colombia,Cassava,2010,3240,48618.46,22.68,106094,106899,805,-805,648025,,,,,,,,
Indonesia,"Rice, paddy",1994,2702,1597,27.18,43453,43453,0,0,0,,,,,,,,
India,"Rice, paddy",1997,1083,52279,26.45,28457,28457,0,0,0,,,,,,,,
Jamaica,Plantains and others,2008,2051,909.71,27.17,171829,169483,2346,2346,5503716,,,,,,,,
India,Sorghum,1996,1083,56114,24.78,9591,9591,0,0,0,,,,,,,,
Japan,Maize,2002,1668,70262.54,13.42,24615,25000,385,-385,148225,,,,,,,,
Indonesia,Potatoes,2004,2702,1597,25.67,163870,163870,0,0,0,,,,,,,,
Tajikistan,Sorghum,1998,691,676.63,8.34,20704,7981,12723,12723,161874729,,,,,,,,
Colombia,Wheat,1992,3240,15305.94,22.67,17490,19852,2362,-2362,5579044,,,,,,,,
Turkey,Potatoes,1992,593,27110,9.06,236046,128769,107277,107277,11508354729,,,,,,,,
Canada,Potatoes,2001,537,38456,8.47,102703,102703,0,0,0,,,,,,,,
India,Cassava,2004,1083,35113,27.16,270436,270436,0,0,0,,,,,,,,
India,Sorghum,2002,1083,42482.56,27.35,7602,7602,0,0,0,,,,,,,,
Brazil,Soybeans,2007,1761,304031,18.66,28133,28133,0,0,0,,,,,,,,
Japan,Soybeans,1999,1668,79821.18,15.79,17301,17301,0,0,0,,,,,,,,
Spain,"Rice, paddy",1992,636,31839,16.65,64481,64481,0,0,0,,,,,,,,
India,Maize,2000,1083,44957.52,26.05,18216,18216,0,0,0,,,,,,,,
Australia,"Rice, paddy",2012,534,48687.88,14.27,89098,89098,0,0,0,,,,,,,,
Sri Lanka,Sorghum,2010,1712,1450.54,26.83,12500,10000,2500,2500,6250000,,,,,,,,
Argentina,Sorghum,2009,591,61586.56,18.16,38752,38752,0,0,0,,,,,,,,
India,"Rice, paddy",2006,1083,37423,27.15,31759,31759,0,0,0,,,,,,,,
Tajikistan,Wheat,2005,691,235.4,8.61,19603,19897,294,-294,86436,,,,,,,,
Mexico,Sorghum,1994,758,34468.93,19.79,29566,29566,0,0,0,,,,,,,,
Guinea,Cassava,2000,1651,230.06,27.12,68299,71253,2954,-2954,8726116,,,,,,,,
Japan,Yams,2007,1668,61164.07,13.68,230788,230788,0,0,0,,,,,,,,
Lebanon,Potatoes,2008,661,1816,20.24,256020,224868,31152,31152,970447104,,,,,,,,
Germany,Potatoes,1991,700,32006,9.36,298464,314059,15595,-15595,243204025,,,,,,,,
Dominican Republic,Yams,1992,1410,4971,26.4,54622,57115,2493,-2493,6215049,,,,,,,,
Rwanda,Cassava,1995,1212,188.2,19.81,24667,24699,32,-32,1024,,,,,,,,
Saudi Arabia,Potatoes,2008,59,4372.61,26.64,249332,228648,20684,20684,427827856,,,,,,,,
Saudi Arabia,Sorghum,1996,59,994,26.28,11513,11513,0,0,0,,,,,,,,
Brazil,Soybeans,2006,1761,238716,27.76,23796,23796,0,0,0,,,,,,,,
Mauritania,Wheat,1990,92,39.09,27.67,10769,12000,1231,-1231,1515361,,,,,,,,
India,Soybeans,1992,1083,70791,25.14,8947,8947,0,0,0,,,,,,,,
Colombia,Wheat,1998,3240,60687,23.07,20497,21537,1040,-1040,1081600,,,,,,,,
Spain,Sweet potatoes,1997,636,34023,17.81,166805,166805,0,0,0,,,,,,,,
Zambia,Soybeans,2004,1020,1670,20.79,12973,19427,6454,-6454,41654116,,,,,,,,
India,Maize,1998,1083,49157,26.69,17969,17969,0,0,0,,,,,,,,
Honduras,Cassava,1991,1976,6289.7,24.61,76776,77259,483,-483,233289,,,,,,,,
Mauritania,Yams,2004,92,702.5,27.81,62760,62706,54,54,2916,,,,,,,,
Pakistan,Potatoes,2001,494,11871,23.62,164180,164180,0,0,0,,,,,,,,
Peru,Maize,2000,1738,5175,17.02,24119,19593,4526,4526,20484676,,,,,,,,
Kazakhstan,Soybeans,2002,250,3361.84,4.77,14955,14955,0,0,0,,,,,,,,
Indonesia,Maize,2007,2702,1597,27.21,36601,36601,0,0,0,,,,,,,,
Mozambique,Maize,2002,1032,17.4,21.96,7065,9580,2515,-2515,6325225,,,,,,,,
Mexico,Cassava,2012,758,64512.22,21.52,122330,122330,0,0,0,,,,,,,,
Spain,Sweet potatoes,2006,636,39767,13.06,168349,168349,0,0,0,,,,,,,,
Egypt,Sweet potatoes,2009,51,9013,22.63,285425,285425,0,0,0,,,,,,,,
Colombia,Cassava,2008,3240,48538.97,22.07,109215,106899,2316,2316,5363856,,,,,,,,
Portugal,Wheat,2001,854,15503,16.2,8371,15678,7307,-7307,53392249,,,,,,,,
Bangladesh,Potatoes,2010,2666,13283.72,26.65,182299,182299,0,0,0,,,,,,,,
Japan,"Rice, paddy",2010,1668,55576,15.87,65135,65135,0,0,0,,,,,,,,
Burkina Faso,Potatoes,2000,748,75.44,28.6,21233,23981,2748,-2748,7551504,,,,,,,,
Madagascar,Sweet potatoes,2000,1513,130.46,19.65,56319,56522,203,-203,41209,,,,,,,,
Egypt,Maize,2011,51,12945,21.99,77409,77723,314,-314,98596,,,,,,,,
Kenya,Sorghum,1994,630,3469,16.58,8640,11720,3080,-3080,9486400,,,,,,,,
Mexico,Cassava,2001,758,31373.3,25.11,153208,117046,36162,36162,1307690244,,,,,,,,
Guinea,Plantains and others,2000,1651,230.06,27.12,52527,52282,245,245,60025,,,,,,,,
Pakistan,Potatoes,2006,494,6925.13,23.28,133447,133447,0,0,0,,,,,,,,
Mexico,Cassava,1994,758,34468.93,19.73,75260,75260,0,0,0,,,,,,,,
Kazakhstan,Wheat,2010,250,6283.85,2.95,7336,7336,0,0,0,,,,,,,,
Australia,Maize,1999,534,34200,16.77,51212,47544,3668,3668,13454224,,,,,,,,
Turkey,Soybeans,2010,593,38554.69,15.6,36869,36869,0,0,0,,,,,,,,
Canada,Wheat,2004,537,36138,6.4,26409,26409,0,0,0,,,,,,,,
Pakistan,Soybeans,1996,494,11955,18.72,12636,12636,0,0,0,,,,,,,,
Mexico,Potatoes,1999,758,34468.93,16.18,223519,223519,0,0,0,,,,,,,,
Spain,Sorghum,2009,636,35199,12.96,43472,43472,0,0,0,,,,,,,,
United Kingdom,Potatoes,2009,1220,21324.22,9.59,444167,438841,5326,5326,28366276,,,,,,,,
Australia,Wheat,2010,534,42169.39,19.09,15729,15729,0,0,0,,,,,,,,
India,Potatoes,1998,1083,49157,24.84,146020,193913,47893,-47893,2293739449,,,,,,,,
Dominican Republic,"Rice, paddy",1992,1410,4971,26.4,89767,48092,41675,41675,1736805625,,,,,,,,
South Africa,Sweet potatoes,2000,495,26857,20.74,35174,34804,370,370,136900,,,,,,,,
India,Cassava,1990,1083,75000,25.68,205381,205381,0,0,0,,,,,,,,
Burundi,Cassava,1994,1274,84.45,21.25,87884,92046,4162,-4162,17322244,,,,,,,,
Indonesia,"Rice, paddy",2011,2702,1597,27.24,49802,49802,0,0,0,,,,,,,,
Australia,Wheat,1990,534,17866,18.05,16344,16344,0,0,0,,,,,,,,
Indonesia,Maize,1998,2702,1597,27.58,26526,26526,0,0,0,,,,,,,,
Japan,Sweet potatoes,1996,1668,79821.18,14.8,233474,233474,0,0,0,,,,,,,,
Egypt,Maize,2001,51,5039,21.45,69798,76800,7002,-7002,49028004,,,,,,,,
India,Maize,1994,1083,61357,25.95,14480,14480,0,0,0,,,,,,,,
India,Maize,1993,1083,66388,25.97,16015,16015,0,0,0,,,,,,,,
India,Cassava,1993,1083,66388,27.07,230430,230430,0,0,0,,,,,,,,
Zimbabwe,Sorghum,1999,657,2918.18,20.44,3998,3983,15,15,225,,,,,,,,
Pakistan,Wheat,2001,494,11871,23.62,23254,23254,0,0,0,,,,,,,,
Australia,Maize,1993,534,23899,13.81,44261,44261,0,0,0,,,,,,,,
Mexico,"Rice, paddy",1997,758,34468.93,20.99,41365,41365,0,0,0,,,,,,,,
Iraq,"Rice, paddy",1997,216,848,22.74,20165,23438,3273,-3273,10712529,,,,,,,,
India,Sweet potatoes,2008,1083,14485.33,24.25,88943,88943,0,0,0,,,,,,,,
Peru,Wheat,2002,1738,8322.88,17.44,13456,13839,383,-383,146689,,,,,,,,
Niger,Wheat,2001,151,31,29.46,18412,19855,1443,-1443,2082249,,,,,,,,
Jamaica,Sweet potatoes,2005,2051,909.71,27.34,164410,160959,3451,3451,11909401,,,,,,,,
Egypt,"Rice, paddy",2013,51,13653,21.44,95865,95865,0,0,0,,,,,,,,
Egypt,Sweet potatoes,1999,51,4823,21.46,240545,240545,0,0,0,,,,,,,,
Pakistan,Sorghum,2000,494,27885,23.6,6179,6179,0,0,0,,,,,,,,
New Zealand,Potatoes,2012,1732,5086,12.89,484810,478154,6656,6656,44302336,,,,,,,,
Ecuador,Soybeans,2006,2274,7953.42,22.31,11500,11500,0,0,0,,,,,,,,
Pakistan,"Rice, paddy",1991,494,5962,24.38,23199,23199,0,0,0,,,,,,,,
India,"Rice, paddy",2000,1083,44957.52,24.69,28508,28508,0,0,0,,,,,,,,
Angola,Sweet potatoes,1993,1010,169,24.15,88095,83001,5094,5094,25948836,,,,,,,,
Dominican Republic,Maize,1996,1410,3493,26.31,13584,13584,0,0,0,,,,,,,,
Burundi,"Rice, paddy",1995,1274,144.2,21.55,26819,31391,4572,-4572,20903184,,,,,,,,
Chile,"Rice, paddy",2005,1522,9830.72,13.06,46677,47898,1221,-1221,1490841,,,,,,,,
Pakistan,Potatoes,1990,494,5299,26.39,104002,104002,0,0,0,,,,,,,,
Mauritius,Potatoes,2010,2041,731.46,24.67,203649,231096,27447,-27447,753337809,,,,,,,,
Ecuador,"Rice, paddy",1990,2274,2537,22.12,31218,31218,0,0,0,,,,,,,,
Guatemala,Wheat,1996,1996,12004.33,19.48,21020,19633,1387,1387,1923769,,,,,,,,
France,Maize,1997,867,109792,11.59,90651,83856,6795,6795,46172025,,,,,,,,
Mauritania,Sweet potatoes,2011,92,13.35,27.87,10004,10006,2,-2,4,,,,,,,,
India,Soybeans,2010,1083,40093.69,27.68,13330,13330,0,0,0,,,,,,,,
India,"Rice, paddy",2010,1083,40093.69,26.61,33587,33587,0,0,0,,,,,,,,
Ecuador,Wheat,2006,2274,7953.42,17.6,7774,6100,1674,1674,2802276,,,,,,,,
Algeria,Maize,1996,89,479.77,16.76,17154,21417,4263,-4263,18173169,,,,,,,,
Brazil,"Rice, paddy",1998,1761,118930.56,24.78,25198,25198,0,0,0,,,,,,,,
Burkina Faso,Sweet potatoes,2011,748,843,29.03,190326,90640,99686,99686,9937298596,,,,,,,,
New Zealand,Maize,2005,1732,4058,13.63,109308,107597,1711,1711,2927521,,,,,,,,
Brazil,Maize,1991,1761,58349.44,20.13,18084,18084,0,0,0,,,,,,,,
India,Soybeans,1995,1083,61257,27.2,10121,10121,0,0,0,,,,,,,,
Brazil,Maize,2000,1761,140423,27.5,27182,27182,0,0,0,,,,,,,,
Brazil,Maize,1999,1761,127585,25.32,27765,27765,0,0,0,,,,,,,,
Japan,Maize,2004,1668,64688.88,16.56,25000,25000,0,0,0,,,,,,,,
Guinea,Maize,2006,1651,376.19,27.2,15637,15388,249,249,62001,,,,,,,,
Tunisia,Potatoes,2009,207,422.24,19.64,144321,149194,4873,-4873,23746129,,,,,,,,
Brazil,Maize,1998,1761,118930.56,20.71,27964,27964,0,0,0,,,,,,,,
Ukraine,Sorghum,2001,565,22415.17,8.42,9952,13276,3324,-3324,11048976,,,,,,,,
India,Wheat,2004,1083,35113,24.85,27132,27132,0,0,0,,,,,,,,
India,Sweet potatoes,1993,1083,66388,24.34,85962,85962,0,0,0,,,,,,,,
Ecuador,Sorghum,2009,2274,9666.87,22.42,16447,16447,0,0,0,,,,,,,,
Dominican Republic,Sweet potatoes,1999,1410,5398,26.66,61874,61874,0,0,0,,,,,,,,
India,"Rice, paddy",2004,1083,35113,26.11,29756,29756,0,0,0,,,,,,,,
Pakistan,Maize,2013,494,0.92,25.95,42313,42313,0,0,0,,,,,,,,
Turkey,"Rice, paddy",2000,593,33471,10.39,60492,60492,0,0,0,,,,,,,,
Mauritius,Maize,2005,2041,698.23,24.16,75397,64737,10660,10660,113635600,,,,,,,,
Croatia,Maize,1995,1113,3418,10.14,49027,79160,30133,-30133,907997689,,,,,,,,
Eritrea,Maize,1999,383,22.28,24.68,7920,2358,5562,5562,30935844,,,,,,,,
Pakistan,Maize,2000,494,27885,26.71,17086,17086,0,0,0,,,,,,,,
Guatemala,Cassava,2002,1996,10381.71,19.93,13713,14288,575,-575,330625,,,,,,,,
India,Sweet potatoes,2005,1083,35342,27.49,88477,88588,111,-111,12321,,,,,,,,
Egypt,Sweet potatoes,2007,51,9105,22.36,298171,285425,12746,12746,162460516,,,,,,,,
Jamaica,Maize,2000,2051,909.71,26.96,11487,23461,11974,-11974,143376676,,,,,,,,
Guinea,Cassava,1993,1651,21,27.25,70876,37500,33376,33376,1113957376,,,,,,,,
Rwanda,"Rice, paddy",1994,1212,157.8,19.55,26471,26400,71,71,5041,,,,,,,,
El Salvador,Sweet potatoes,1996,1784,3319.85,25.77,62845,62500,345,345,119025,,,,,,,,
Dominican Republic,Maize,2011,1410,6316.61,26.79,16229,16229,0,0,0,,,,,,,,
Malaysia,Maize,2012,2875,49810.48,27.36,89681,61320,28361,28361,804346321,,,,,,,,
Italy,Sweet potatoes,1996,832,74617.2,12.28,221667,221667,0,0,0,,,,,,,,
Brazil,Yams,2007,1761,304031,25.44,92593,92593,0,0,0,,,,,,,,
Brazil,Potatoes,1993,1761,75658.33,25.41,146090,146090,0,0,0,,,,,,,,
Japan,Yams,2009,1668,60970.8,15.67,211519,211519,0,0,0,,,,,,,,
Brazil,Wheat,2004,1761,214725,27.24,20728,20728,0,0,0,,,,,,,,
Pakistan,Wheat,2012,494,990.09,26.11,27138,27138,0,0,0,,,,,,,,
Guinea,Sorghum,1993,1651,21,27.25,14390,15038,648,-648,419904,,,,,,,,
Spain,Soybeans,1992,636,31839,16.65,20184,20184,0,0,0,,,,,,,,
Pakistan,Maize,1993,494,4945,18.91,13983,13983,0,0,0,,,,,,,,
India,"Rice, paddy",2007,1083,27422.77,25.59,32924,32924,0,0,0,,,,,,,,
Brazil,Potatoes,2002,1761,145552,25.18,194038,194038,0,0,0,,,,,,,,
Zimbabwe,Wheat,2001,657,2988.54,20.86,53000,54000,1000,-1000,1000000,,,,,,,,
Croatia,Potatoes,2005,1113,2053,9.62,144638,163115,18477,-18477,341399529,,,,,,,,
Pakistan,Wheat,2004,494,8903.48,27.94,23733,23733,0,0,0,,,,,,,,
Canada,Maize,1997,537,38258.2,8.09,68702,68702,0,0,0,,,,,,,,
Mexico,"Rice, paddy",2005,758,51741.99,16.93,50653,47857,2796,2796,7817616,,,,,,,,
Kenya,Sorghum,2001,630,1578,16.1,8569,8608,39,-39,1521,,,,,,,,
Australia,Sorghum,2004,534,36276,16.64,27367,27367,0,0,0,,,,,,,,
United Kingdom,Wheat,1993,1220,32387,9.14,73282,73282,0,0,0,,,,,,,,
India,Sorghum,1999,1083,46195,24.9,8472,8472,0,0,0,,,,,,,,
Italy,Wheat,2000,832,79447,13.42,32133,32434,301,-301,90601,,,,,,,,
Italy,Wheat,1994,832,81217.6,13.53,34796,35506,710,-710,504100,,,,,,,,
Pakistan,Soybeans,2006,494,6925.13,26.46,11287,11287,0,0,0,,,,,,,,
Australia,Potatoes,1998,534,37215,16.28,322292,322292,0,0,0,,,,,,,,
Dominican Republic,Plantains and others,1993,1410,4971,26.38,105020,105020,0,0,0,,,,,,,,
Egypt,Soybeans,2007,51,9105,21.51,32880,30817,2063,2063,4255969,,,,,,,,
Algeria,Potatoes,1991,89,2461.8,16.26,90747,113356,22609,-22609,511166881,,,,,,,,
Ecuador,"Rice, paddy",2004,2274,29799.84,22.33,42187,42187,0,0,0,,,,,,,,
Brazil,Soybeans,1991,1761,58349.44,27.21,15533,15533,0,0,0,,,,,,,,
Dominican Republic,"Rice, paddy",2009,1410,5975.25,26.88,42862,42862,0,0,0,,,,,,,,
Japan,Soybeans,2000,1668,79821.18,13.5,19184,19184,0,0,0,,,,,,,,
India,Wheat,1998,1083,49157,27.87,24852,24852,0,0,0,,,,,,,,
Canada,Potatoes,2005,537,36363,7.22,115053,115053,0,0,0,,,,,,,,
Mexico,"Rice, paddy",1992,758,34468.93,24.87,43577,43577,0,0,0,,,,,,,,
Ecuador,Sweet potatoes,2002,2274,1302.49,22.23,13019,13019,0,0,0,,,,,,,,
Denmark,Potatoes,2011,703,4249.48,9.31,389423,416339,26916,-26916,724471056,,,,,,,,
Morocco,Sorghum,2011,346,13697,18.59,8011,8011,0,0,0,,,,,,,,
Ghana,Maize,2010,1187,378.97,27.57,18874,16969,1905,1905,3629025,,,,,,,,
Malawi,Potatoes,1991,1181,173.19,20.4,66730,102044,35314,-35314,1247078596,,,,,,,,
France,Maize,1999,867,114695,11.83,89523,84528,4995,4995,24950025,,,,,,,,
Brazil,Cassava,2006,1761,238716,27.76,140463,140463,0,0,0,,,,,,,,
Mozambique,Maize,1992,1032,102.26,22.6,1587,6332,4745,-4745,22515025,,,,,,,,
Turkey,Potatoes,2011,593,39534.43,13.65,324041,324041,0,0,0,,,,,,,,
Brazil,Sweet potatoes,1995,1761,92967.22,25.65,110676,110676,0,0,0,,,,,,,,
Japan,Wheat,2011,1668,51796.3,15.62,35286,35286,0,0,0,,,,,,,,
Mexico,Potatoes,1995,758,34468.93,19.87,199803,199803,0,0,0,,,,,,,,
Pakistan,Sorghum,1992,494,5518,22.36,5910,5910,0,0,0,,,,,,,,
Austria,Wheat,2009,1110,3531.8,9.48,49295,49066,229,229,52441,,,,,,,,
India,Maize,2000,1083,44957.52,26.05,18216,18216,0,0,0,,,,,,,,
India,Sweet potatoes,1998,1083,49157,26.4,86907,86907,0,0,0,,,,,,,,
Brazil,Soybeans,1991,1761,58349.44,20.13,15533,15533,0,0,0,,,,,,,,
Egypt,Wheat,2004,51,5363,21.06,65567,65567,0,0,0,,,,,,,,
Tajikistan,"Rice, paddy",2009,691,258.1,8.42,43558,52616,9058,-9058,82047364,,,,,,,,
Mexico,Soybeans,2001,758,31373.3,15.98,16503,16503,0,0,0,,,,,,,,
El Salvador,Cassava,2006,1784,2265.72,26.14,125016,128120,3104,-3104,9634816,,,,,,,,
Tajikistan,Wheat,2013,691,264.6,10.1,29735,26758,2977,2977,8862529,,,,,,,,
India,Sorghum,1995,1083,61257,24.04,8235,8235,0,0,0,,,,,,,,
South Africa,Wheat,2009,495,26857,15.44,30475,30475,0,0,0,,,,,,,,
India,Sweet potatoes,2008,1083,14485.33,25.78,88943,88943,0,0,0,,,,,,,,
Guinea,Plantains and others,1994,1651,39,27.03,52500,52019,481,481,231361,,,,,,,,
Kazakhstan,Sorghum,1996,250,13047,1.61,8255,8255,0,0,0,,,,,,,,
India,Cassava,2007,1083,27422.77,25.95,322204,322204,0,0,0,,,,,,,,
Malaysia,Maize,2000,2875,39406.48,27.14,24074,18519,5555,5555,30858025,,,,,,,,
Australia,Soybeans,2012,534,48687.88,16.84,22598,22598,0,0,0,,,,,,,,
India,Sorghum,2004,1083,35113,27.29,7161,7161,0,0,0,,,,,,,,
Rwanda,Potatoes,2007,1212,398.11,19.6,77618,118679,41061,-41061,1686005721,,,,,,,,
Lebanon,Potatoes,2005,661,1816,19.68,259594,255504,4090,4090,16728100,,,,,,,,
